Anno,Codici Istat Comuni,Territorio,popolazione al 1 gennaio,nati vivi,morti,iscritti  in anagrafe da altri comuni,cancellati  in anagrafe  per altri comuni,iscritti  in anagrafe dall'estero,cancellati  in anagrafe per l'estero,unità in più/meno dovute a variazioni territoriali,Aggiustamento statistico ,popolazione al 31 dicembre
2022,51040,Castelfranco Piandiscò,9832,63,106,340,313,47,24,0,-46,9793
2022,51041,Pratovecchio Stia,5439,35,76,139,126,60,27,0,-3,5441
2022,51042,Laterina Pergine Valdarno,6447,39,89,154,186,44,16,0,-6,6387
2022,52001,Abbadia San Salvatore,6023,34,97,124,123,59,12,0,-3,6005
2022,52002,Asciano,6812,46,94,225,226,71,20,0,-15,6799
2022,52003,Buonconvento,3004,16,47,99,84,18,22,0,5,2989
2022,52004,Casole d'Elsa,3716,29,48,146,114,16,40,0,12,3717
2022,52005,Castellina in Chianti,2677,14,43,68,91,30,14,0,3,2644
2022,52006,Castelnuovo Berardenga,8970,66,95,309,367,120,36,0,-31,8936
2022,52007,Castiglione d'Orcia,2148,6,41,61,55,25,5,0,1,2140
2022,52008,Cetona,2516,12,46,66,88,49,7,0,-3,2499
2022,52009,Chianciano Terme,6848,25,105,224,231,224,40,0,-8,6937
2022,52010,Chiusdino,1767,15,24,29,45,20,15,0,-3,1744
2022,52011,Chiusi,8051,54,126,231,243,181,30,0,-18,8100
2022,52012,Colle di Val d'Elsa,21677,136,247,560,529,134,68,0,-28,21635
2022,52013,Gaiole in Chianti,2584,15,40,46,76,15,15,0,0,2529
2022,52015,Montepulciano,13386,79,234,275,303,151,48,0,-26,13280
2022,52016,Monteriggioni,9993,73,109,483,498,94,44,0,8,10000
2022,52017,Monteroni d'Arbia,8984,84,130,322,256,87,26,0,3,9068
2022,52018,Monticiano,1534,5,25,43,54,80,5,0,-15,1563
2022,52019,Murlo,2408,15,18,106,131,65,12,0,-4,2429
2022,52020,Piancastagnaio,3968,19,61,71,88,30,28,0,-29,3882
2022,52021,Pienza,2007,14,32,32,49,18,4,0,-3,1983
2022,52022,Poggibonsi,28576,168,403,625,634,182,82,0,-69,28363
2022,52023,Radda in Chianti,1470,8,22,44,57,21,15,0,3,1452
2022,52024,Radicofani,1065,5,13,21,25,8,0,0,-5,1056
2022,52025,Radicondoli,925,4,10,41,31,46,2,0,-25,948
2022,52026,Rapolano Terme,5030,34,59,131,129,110,34,0,10,5093
2022,52027,San Casciano dei Bagni,1516,4,24,32,36,11,3,0,-5,1495
2022,52028,San Gimignano,7487,31,91,236,235,78,31,0,18,7493
2022,52030,San Quirico d'Orcia,2610,16,34,60,62,21,8,0,-22,2581
2022,52031,Sarteano,4476,25,80,97,72,48,12,0,3,4485
2022,52032,Siena,53062,306,782,1516,1356,480,149,0,-103,52974
2022,52033,Sinalunga,12128,83,175,299,290,99,52,0,18,12110
2022,52034,Sovicille,9906,67,91,320,374,94,21,0,-32,9869
2022,52035,Torrita di Siena,7014,32,99,177,151,33,19,0,-18,6969
2022,52036,Trequanda,1195,2,26,31,40,9,4,0,0,1167
2022,52037,Montalcino,5676,32,89,140,160,56,31,0,-1,5623
2022,53001,Arcidosso,4226,25,74,115,149,85,9,0,-18,4201
2022,53002,Campagnatico,2335,20,42,120,119,51,13,0,1,2353
2022,53003,Capalbio,3887,18,59,111,111,27,9,0,0,3864
2022,53004,Castel del Piano,4808,24,82,120,138,83,42,0,-20,4753
2022,53005,Castell'Azzara,1311,8,43,41,26,16,2,0,5,1310
2022,53006,Castiglione della Pescaia,7098,44,103,298,261,102,49,0,2,7131
2022,53007,Cinigiano,2390,16,41,79,79,41,20,0,-9,2377
2022,53008,Civitella Paganico,2989,19,47,68,122,46,7,0,-24,2922
2022,53009,Follonica,20607,85,306,475,499,137,61,0,19,20457
2022,53010,Gavorrano,8192,36,123,334,258,69,26,0,38,8262
2022,53011,Grosseto,81503,486,1014,1599,1422,594,182,0,44,81608
2022,53012,Isola del Giglio,1344,4,13,36,57,18,2,0,-8,1322
2022,53013,Magliano in Toscana,3316,12,47,84,91,26,7,0,1,3294
2022,53014,Manciano,7113,40,119,152,135,59,16,0,-32,7062
2022,53015,Massa Marittima,8124,59,135,254,201,83,21,0,4,8167
2022,53016,Monte Argentario,12040,56,156,173,213,52,48,0,-15,11889
2022,53017,Montieri,1173,8,17,49,32,24,10,0,-4,1191
2022,53018,Orbetello,14352,70,189,353,333,79,27,0,10,14315
2022,53019,Pitigliano,3608,15,73,99,66,6,5,0,1,3585
2022,53020,Roccalbegna,923,3,24,37,32,16,3,0,-2,918
2022,53021,Roccastrada,8761,40,139,242,215,136,37,0,0,8788
2022,53022,Santa Fiora,2485,13,50,104,84,41,5,0,0,2504
2022,53023,Scansano,4263,22,86,172,148,124,25,0,6,4328
2022,53024,Scarlino,3814,23,54,142,185,25,7,0,-9,3749
2022,53025,Seggiano,983,7,16,32,50,20,6,0,37,1007
2022,53026,Sorano,3097,14,54,58,87,19,4,0,-2,3041
2022,53027,Monterotondo Marittimo,1283,4,19,36,34,30,24,0,-6,1270
2022,53028,Semproniano,984,4,28,32,25,4,5,0,-1,965
2022,100001,Cantagallo,3092,10,46,153,107,15,14,0,6,3109
2022,100002,Carmignano,14753,75,155,542,621,84,31,0,-24,14623
2022,100003,Montemurlo,19100,131,193,622,620,170,55,0,22,19177
2022,100004,Poggio a Caiano,9956,61,116,338,339,105,17,0,-59,9929
2022,100005,Prato,195213,1109,2131,3697,3815,2639,493,0,98,196317
2022,100006,Vaiano,9943,69,134,322,328,90,33,0,3,9932
2022,100007,Vernio,6066,32,87,289,193,54,22,0,18,6157
